CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
42 Coin,Scrypt,PoW/PoS,41.99995383,42
404Coin,Scrypt,PoW/PoS,1055184902.04,532000000
808,SHA-256,PoW/PoS,0.0,0
EliteCoin,X13,PoW/PoS,29279424622.5027,314159265359
Bitcoin,SHA-256,PoW,17927175.0,21000000
Ethereum,Ethash,PoW,107684222.6865,0
Litecoin,Scrypt,PoW,63039243.3000049,84000000
Dash,X11,PoW/PoS,9031294.37563393,22000000
Monero,CryptoNight-V7,PoW,17201143.1449131,0
Ethereum Classic,Ethash,PoW,113359703.0,210000000
ZCash,Equihash,PoW,7383056.25,21000000
Bitshares,SHA-512,PoS,2741570000.0,3600570502
DigiByte,Multiple,PoW,11406219141.0,21000000000
BitcoinDark,SHA-256,PoW/PoS,1288862.0,22000000
Bitstake,X11,PoW/PoS,0.0,1300000
PayCoin,SHA-256,PoS,11995334.8847328,12500000
ProsperCoin,Scrypt,PoW,5768310.0,21000000
KoboCoin,X15,PoW/PoS,25542535.5881841,350000000
Spreadcoin,X11,PoW,11149733.9976203,20000000
ACoin,SHA-256,PoW,0.0,1600000
Aero Coin,X13,PoS,0.0,7000000
ApexCoin,X13,PoW/PoS,0.0,6000000
ArchCoin,Scrypt,PoS,0.0,16403135
Argentum,Scrypt,PoW,12205795.4449549,64000000
Aurora Coin,Scrypt,PoW/PoS,18135099.992959,16768584
BetaCoin,SHA-256,PoW,0.0,32000000
BlueCoin,Scrypt,PoW/PoS,635423900.0,0
MyriadCoin,Multiple,PoW,1688254250.0,2000000000
MoonCoin,Scrypt,PoW,88.0,384000000000
ZetaCoin,SHA-256,PoW,170204389.754849,169795588
SexCoin,Scrypt,PoW,128940951.183046,250000000
Quatloo,Scrypt,PoW,7357794.7925,100000000
EnergyCoin,Scrypt,PoW/PoS,123062801.128773,0
QuarkCoin,Quark,PoW,259557164.91477,247000000
Riecoin,Groestl,PoW,49548585.1412917,84000000
Digitalcoin ,Scrypt,PoW,33442988.3440364,48166000
LimeCoinX,X11,PoW,0.0,21000000 
BitBar,Scrypt,PoW/PoS,42579.476901,500000
BitMark,Scrypt,PoW,0.0,27580000
CashCoin,Scrypt,PoW/PoS,0.0,47433600
Catcoin,Scrypt,PoW,7219956.64626131,21000000 
CryptoBullion,Scrypt,PoW/PoS,1039116.65144562,1000000
CannaCoin,Scrypt,PoW,4703879.51824446,13140000
CinderCoin,Multiple,PoW/PoS,0.0,114000000
CoolCoin,Scrypt,PoS,0.0,100000000
CryptCoin,X11,PoW,4996986.20575291,18000000
CasinoCoin,Scrypt,PoC,39999997299.8568,40000000000
eMark,SHA-256,PoW/PoS,0.0,0
Diamond,Groestl,PoW/PoS,3304487.74735637,4380000
Verge,Multiple,PoW,15929530669.1206,16555000000
DarkCash,X11,PoW/PoS,0.0,3720000
DarkShibe,Scrypt,PoW,0.0,2043962
DevCoin,SHA-256,PoW,18773857500.0,21000000000
EarthCoin,Scrypt,PoW,12539015186.822,13500000000
E-Gulden,Scrypt,PoW,20910478.8062499,21000000 
Elacoin,Scrypt,PoW,0.0,75000000
Einsteinium,Scrypt,PoW,218871896.499999,299792458
Emerald,Scrypt,PoW,19496786.31025,32000000
Exclusive Coin,PoS,PoS,5679705.0,0
Flappy Coin,Scrypt,PoW,0.0,100000000000
Fuel2Coin,X11,PoS,0.0,100000000
FIBRE,NIST5,PoW/PoS,0.0,624000
FireRoosterCoin,SHA-256,PoW,0.0,2602410
FlutterCoin,Scrypt,PoS/PoW/PoT,461829905.32893,0
Franko,Scrypt,PoW,1142732.14912776,11235813
FeatherCoin,NeoScrypt,PoW,208669093.00773,336000000
GrandCoin,Scrypt,PoW,884125802.0,1420609614
GlobalCoin,Scrypt,PoW,65672720.4708748,70000000
GoldCoin,Scrypt,PoW,41658647.9999715,72245700
GlyphCoin,X11,PoW/PoS,0.0,7000000
Halcyon,X15,PoW/PoS,0.0,0
HoboNickels,Scrypt,PoW/PoS,89266933.684704,120000000
HunterCoin,Multiple,PoW,0.0,42000000
HyperStake,X11,PoS,1678520090.7713,0
Infinite Coin,Scrypt,PoW,90595753018.6314,90600000000
IOCoin,X11,PoW/PoS,17650913.9743456,22000000
IXcoin,SHA-256,PoW,21089348.999,21000000
JumBucks Coin,X11,PoW/PoS,0.0,3293010
JudgeCoin,X13,PoW/PoS,0.0,21600000
KrugerCoin,Scrypt,PoW,151447649.8,265420800
LuckyCoin,Scrypt,PoW,19326319.14375,20000000
Litebar ,Scrypt,PoW,1104344.22938102,1350000
LitecoinDark,Scrypt,PoW,0.0,82003200
LibrexCoin,X11,PoW/PoS,0.0,1000000
MaxCoin,SHA3,PoW/PoS,61445805.0,100000000
MegaCoin,Scrypt,PoW,38151999.9930997,42000000
MediterraneanCoin,HybridScryptHash256,PoW,40431856.9,200000000
MintCoin,Scrypt,PoS,21293925445.4969,0
MinCoin,Scrypt,PoW,5804204.88794916,10000000
MazaCoin,SHA-256,PoW/PoS,1613836099.99999,2419200000
Nautilus Coin,Scrypt,PoS,16180000.0,16180000
NavCoin,X13,PoW/PoS,66087096.2077108,0
NoirBits,SHA-256,PoW,0.0,50000000
NobleCoin,Scrypt,PoW,2366066305.76482,15000000000
Namecoin,SHA-256,PoW,14736400.0,21000000
NyanCoin,Scrypt,PoW,334709223.483138,337000000
OpalCoin,X13,PoW/PoS,15156364.3306548,0
Orbitcoin,NeoScrypt,PoW/PoS,3220616.279225,3770000
PotCoin,Scrypt,PoW/PoS,222677226.014206,420000000
PhoenixCoin,Scrypt,PoW/PoS,73959274.625,98000000
Reddcoin,Scrypt,PoW/PoS,29315567169.0888,0
RipOffCoin,Scrypt,PoW,0.0,12000000
RonPaulCoin,Scrypt,PoW,1104157.42169891,21000000
StableCoin,Scrypt,PoW,24215181.725,250000000
ShieldCoin,X15,PoW/PoS,0.0,1000000
SilkCoin,Scrypt,PoW/PoS,0.0,1000000
SmartCoin,Scrypt,PoW,25593737.1355044,51200000
SpainCoin,Scrypt-n,PoW,0.0,50000000
SecureCoin,Scrypt,PoW,0.0,21000000
SuperCoin,X11,PoS,50707661.7493518,0
SyncCoin,X11,PoW/PoS,1177.0,1000
SysCoin,SHA-256,PoW,563336541.299966,888000000
TeslaCoin,Multiple,PoS,80260463.7331396,100000000
TigerCoin,SHA-256,PoW,43536800.0,47011968
TittieCoin,PHI1612,PoS,1622326490.46336,2300000000
TorCoin,X11,PoW/PoS,1431851.00002479,10000000
TerraCoin,SHA-256,PoW,22935396.0,42000000
Umbrella,SHA-256,PoW,0.0,2625000
UnbreakableCoin,SHA-256,PoW,2278150.0,80000000
Unobtanium,SHA-256,PoW,200911.79151896,250000
UroCoin,X11,PoW,1207310.0,0
UnitaryStatus Dollar,Scrypt,PoW/PoS,1098952592.6,1600000000
UltraCoin,Scrypt,PoW/PoS,50235211.141939,100000000
Utility Coin,X13,PoW/PoS,0.0,0
ViaCoin,Scrypt,PoW,23150892.1679687,23000000
VootCoin,X11,PoW,0.0,0
VeriCoin,Scrypt,PoST,32021108.4136696,0
Vertcoin,Lyra2REv2,PoW,51173723.8166347,84000000
WorldCoin,Scrypt,PoW,119606941.0,265420800
SocialXbotCoin,Scrypt,PoW/PoS,0.0,2000000
X11 Coin,X11,PoW/PoS,6950831.0970606,5500000
Crypti,Multiple,PoS,100000000.0,0
JouleCoin,SHA-256,PoW,39195739.362088,45000000
StealthCoin,X13,PoW/PoS,33093725.4123502,0
XXXCoin,Scrypt,PoW/PoS,0.0,50000000
ZCC Coin,Scrypt,PoW/PoS,147990237.978331,1000000000
ByteCoin,CryptoNight,PoW,184066828814.0,184467440735
DigitalNote ,CryptoNight,PoW,6906587610.38292,10000000000
BurstCoin,Shabal256,PoC,1813033920.0,2158812800
StorjCoin,Counterparty,PoS,51173144.0,500000000
MonaCoin,Scrypt,PoW,68194674.8711679,105120000
Neutron,SHA-256,PoW/PoS,39121694.0,68000000
Sling Coin,SHA-256,PoW,0.0,1000000
KryptCoin,Scrypt,PoS,0.0,17000000
FairCoin,Groestl,PoW/PoS,53193831.0,0
Gulden,Scrypt,PoW,415032420.0,1680000000
RubyCoin,Scrypt,PoS,27184490.3918338,0
PesetaCoin,Scrypt,PoW,137517654.41397,166386000
Kore,X13,PoW/PoS,2022464.886973,12000000
Wild Beast Coin,Scrypt,PoW,181919.2435974,2628000
Dnotes,Scrypt,PoS,174646113.934655,500000000
Flo,Scrypt,PoW,152270664.860648,160000000
MaieutiCoin,SHA-256,PoS,0.0,2014
8BIT Coin,Scrypt,PoW/PoS,1467841.0,0
Sativa Coin,X13,PoW/PoS,7096834.0,10000000
AeroMe,X13,PoW/PoS,0.0,12000000
ArtByte,Scrypt,PoW,792537250.0,1000000000
MasterTraderCoin,X11,PoW/PoS,0.0,10110000
BitCredit,Momentum,PoW,0.0,210000000
Folding Coin,Stanford Folding,PoW,719416990.0,1000000000
Ucoin,X11,PoS,2689812.0,20000000
Unitus,Multiple,PoW,65113302.0,0
CypherPunkCoin,QuBit,PoW,6365285.0,0
MaryJane Coin,X15,PoW/PoS,0.0,0
OmniCron,Scrypt,PoW,10140044.4430293,3371337
CyberCoin,Scrypt,PoW/PoS,0.0,0
Vtorrent,Scrypt,PoW/PoS,11604722.0,20000000
GreenCoin,Scrypt,PoW,4610340640.89,10000000000
Unattanium,SHA-256,PoW,0.0,0
Cryptonite,M7 POW,PoW,708506520.0,1840000000
Gridmaster,Scrypt,PoW,0.0,84000000
ConSpiracy Coin ,X11,PoW,0.0,33000000
MasterCoin,Scrypt,PoW,619478.0,619478
SoonCoin,SHA-256,PoW,12462620.0,21000000
1Credit,Scrypt,PoW,88213.0,92000000000
ViorCoin,Scrypt,PoW/PoS,0.0,0
IslaCoin,X11,PoW/PoS,1513704.0,0
Quicksilver coin,X11,PoW,0.0,33000000
Nexus,SHA3,PoW/nPoS,63657220.0,78000000
MarsCoin ,X11,PoW,32221574.820996,33000000
Singular,Scrypt,PoW/PoS,0.0,0
Crypto,Lyra2RE,PoW,13742738.0,65789100
Anarchists Prime,SHA-256,PoW,14747200.0002,53760000
Droidz,QUAIT,PoW/PoS,8568038.35935056,5060000
BowsCoin,X11,PoW,15863837.5,21000000
CryptoCircuits,vDPOS,PoS,0.0,0
Squall Coin,X11,PoS/PoW,329200.01639,0
Milllionaire Coin,X11,PoW/PoS,0.0,0
Song Coin,Scrypt,PoW,32565300.0,210240000
BitZeny,Scrypt,PoW,75614500.0,250000000
Diggits,Scrypt,PoS,100000000.0,100000000
Expanse,Ethash,PoW,10495278.0,16906397
MapCoin,X11,PoS,0.0,2228921.184
Paycon,X13,PoW/PoS,23042604.0,50000000
Siacoin,Blake2b,PoW,33098296530.0,0
Emercoin,SHA-256,PoW/PoS,43059794.804778,1000000000
BlitzCoin,X13,PoS,0.0,3852156
EverGreenCoin,X15,PoW/PoS,13530556.4180753,26298000
MindCoin,X11,PoW,15867695.0,16000000
I0coin,SHA-256,PoW,20997476.8650231,21000000
Decred,BLAKE256,PoW/PoS,10365046.9281661,21000000
DogeCoinDark,Scrypt,PoW,0.0,16500000000
Revolution VR,Scrypt,PoW,210000000.0,210000000
HOdlcoin,1GB AES Pattern Search,PoW,11448949.0,81962100
EDRCoin,SHA-256,PoW/PoS,3669691.84494672,22000000
Hitcoin,X11,PoW/PoS,10996318099.0,26550000000
Gamecredits,Scrypt,PoW,69836100.0,84000000
Dashcoin,CryptoNight,PoW,0.0,18446744
DubaiCoin,SHA-256,PoW/PoS,5129014.0,10500000
BiosCrypto,Quark,PoW/PoS,0.0,20190463.54969237
CarpeDiemCoin,SHA-256,PoW,21739971929.0,21626280000 
PWR Coin,NIST5,PoW/PoS,10069449031.9252,0
TrumpCoin,Blake,PoS,0.0,12000000
BillaryCoin,Scrypt,PoW/PoS,8998743.2411911,42000000
EthereumScrypt,Scrypt,PoW/PoS,0.0,4200000
Phalanx,SHA-256,PoW,0.0,15000000
SunShotCoin,X11,PoW,0.0,2250000000
GPU Coin,Scrypt,PoS,40477042.0,221052632
HempCoin,Scrypt-n,PoW,0.0,5000000000
Adzcoin,X11,PoW,45110324.0,84000000
VirtaCoin,Scrypt,PoW,0.0,21000000000
SoilCoin,Dagger,PoW,5702048.0,30000000
YoCoin,Scrypt,PoW,636462.55983338,168351300
Universal Currency,SHA-256,PoW/PoS,0.0,210000000
AEON,CryptoNight-Lite,PoW,0.0,18400000
SibCoin,X11GOST,PoW,17263355.0,24000000
EuropeCoin,X11,PoW/PoS,10407269.7881868,384000000
Anti Bitcoin,SHA-256,PoW,0.0,42000000
ZeitCoin,Scrypt,PoS,36971236046.8073, 99000000000
SwingCoin,SHA-256,PoW/PoS,4377081.60953993,40000000
SafeExchangeCoin,Scrypt,PoC,2147483647.0,2147483647
Nebuchadnezzar,PoS,PoS,20000000.0,20000000
Francs,Scrypt,PoW,6570807.65677618,20000000
BolivarCoin,X11,PoW,13654082.4987998,25000000
GIZMOcoin,X11,PoW/PoS,0.0,100000
SecretCoin,X11,PoW/PoS,0.0,21000000
Ratecoin,X11,PoW/PoS,134554941.15119,75000000
Digital Bullion Gold,PoS,PoS,0.0,15000000
Revenu,SHA-256,PoW/PoS,1195525.0,222725000
Clinton,SHA-256,PoW,0.0,2421227
Clockcoin,SHA-256,PoW/PoS,16662820.0,525000000
VIP Tokens,NIST5,PoW/PoS,83450403.0,90000000
OrlyCoin,X15,PoW/PoS,0.0,36000000
BitSend,X11,PoW/PoS,24387724.5010828,139000000
16BitCoin,NIST5,PoW/PoS,0.0,16000000
ChessCoin,Scrypt,PoW/PoS,0.0,74666667
ReeCoin,Scrypt,PoW/PoS,0.0,350000000
Omni,Scrypt,PoW,616448.0,616448
Let it Ride,POS 3.0,PoS,38589808.6658096,33500000
PutinCoin,Scrypt,PoW/PoS,813092338.575672,2000000000
iBankCoin,Scrypt,PoW/PoS,4526324.0,44333333
Frankywillcoin,Scrypt,PoW/PoS,100000000.0,100000000
MudraCoin,X13,PoS,5000000.0,200000000
PizzaCoin,X11,PoW,1377917.0,25000000
Lutetium Coin,X11,PoS,657000000.0,657000000
Komodo,Equihash,dPoW/PoW,115898131.0,200000000
GoldBlocks,X11,PoW/PoS,15563873.0,50000000
WayCoin,X11,PoS,0.0,100000000
CarterCoin,Scrypt,PoW/PoS,43165500.0,90000000
Karbo,CryptoNight,PoW,7822432.72439746,10000000
BitTokens,SHA-256,PoW/PoS,595429.0,21000000
ZayedCoin,SHA-256,PoW,6243840.0,9736000
MustangCoin,X11,PoW/PoS,657636.34549789,3000000
ZoneCoin,Scrypt,PoW/PoS,2581970.0,21000000
Circuits of Value,Multiple,PoW,1000000000.0,1200000000
RootCoin,Scrypt,PoW/PoS,1939889.0,0
DopeCoin,Scrypt,PoW,116845228.0,200000000
PROUD Money,X11,PoW/PoS,0.0,10000000000
BitCurrency,Scrypt,PoS,169598616.0,0
DollarCoin,SHA-256,PoW,9106714.0,10638298
Swiscoin,Scrypt,PoW/PoW,665200057.0,3100000000
Shilling,Scrypt,PoW,11119200.0,30000000
BuzzCoin,SHA-256D,PoW/PoS,19577787259.0,20000000000
Opair,PoS,PoS,74033806.7949683,74000000
PesoBit,Scrypt,PoW/PoS,33522957.0,0
GBR Coin,Scrypt,PoW,0.0,87500000
Halloween Coin,X11,PoW/PoS,264678458.288619,1500000000
FujiCoin,Scrypt-n,PoW,0.0,10000000
ZCoin,Lyra2Z,PoW,7568281.24956067,21400000
LeaCoin,SHA-256,PoW,0.0,2000000000
CoffeeCoin,PoS,PoS,148716816.0,39999898
RoyalCoin,X13,PoS,2500124.0,2500124
Zurcoin,Quark,PoW,0.0,126000000
GanjaCoin V2,X14,PoW/PoS,100000000.0,100000000
TeamUP,PoS,PoS,17818682.1654,301000000
LanaCoin,SHA-256D,PoW/PoS,1082162635.53683,7506000000
Elementrem,Ethash,PoW,26205539.0,26205539
CashOut,SHA-256,PoW,0.0,100000000
ZClassic,Equihash,PoW,5613550.0,21000000
ARK,DPoS,DPoS,108202084.0,125000000
InsaneCoin,X11,PoW/PoS,18342813.0,30000000
LuckChain,Scrypt,PoW/PoS,0.0,1000000000
KiloCoin,Scrypt,PoW,196297971.0,10000000000
Hush,Equihash,PoW,0.0,21000000
ArtexCoin,X11,PoW,824000000.0,500000000
EmberCoin,X13,PoW/PoS,92192822723.0,850000000
XenixCoin,X11,PoW/PoS,3853326.77707314,3853326.77707314
FreeCoin,PoS,PoS,50000000.0,50000000
NPCcoin,SHA-256D,PoW/PoS,0.0,7000000000
PLNCoin,Scrypt,PoW/PoS,17089600.0,38540000 
Icobid,Scrypt,PoW/PoS,0.0,200000000 
AquariusCoin,Scrypt,PoW/PoS,2449577.41533168,42000000
Kurrent,X11,PoW,61364813.0,228000000
Creatio,PoS,PoS,20000000.0,20000000
Eternity,X11,PoW/PoS,6069482.07721352,60000000
Eurocoin,SHA-256,PoW/PoS,12416554.0,20000000
BitcoinFast,Scrypt,PoW/PoS,20244023.640728,33000000
Stakenet,X11,TPoS,75590369.0,76500000
BitConnect Coin,Scrypt,PoW/PoS,11080722.3769581,28000000
MoneyCoin,Scrypt,PoW/PoS,10914418.0,650659833
Enigma,X11,PoW/PoS,814671.0,5000000
Cannabis Industry Coin,CryptoNight,PoW,978145.0,21000000
Russiacoin,Scrypt,PoW/PoS,8377873.0,144000000
PandaCoin,Scrypt,PoS,33813143821.8337,32514916898
GameUnits,Scrypt,PoW/PoS,3472983.0,13000000
GAKHcoin,Scrypt,PoW/PoS,3315789.0,3315789
Allsafe,Quark,PoS,10517772.7391666,15000000
LiteCreed,QuBit,PoW/PoS,30227750.0,78835200
OsmiumCoin,Scrypt,PoW,894026.0,2714286
Bikercoins,CryptoNight,PoW,9357088.0,25000000
NeptuneClassic,X11,PoW/PoS,0.0,250000000
HexxCoin,Lyra2RE,PoW,1876146.443596,9999999
GoldenBird,X13,PoW/PoS,0.0,450000000
Ride My Car,PoS,PoS,0.0,100000000
Klingon Empire Darsek,Scrypt,PoW/PoS,23965372.0,500000000
Internet of People,SHA-256,PoW/PoS,2526078.47525448,21000000
KushCoin,X11,PoW/PoS,5659096.95728771,9354000
Eryllium,X11,PoW/PoS,0.0,100000000
MarxCoin,X11,PoW,0.0,100640000
Printerium,Scrypt,PoW/PoS,11821728.0,20000000
PacCoin,X11,PoW,536982074.0,100000000000
Impeach,Scrypt,PoW/PoS,308179.0,21933333
Solarflarecoin,Scrypt,PoW,0.0,20000000
Citadel,CryptoNight-V7,PoW,10969318.522954,185000000
Zilbercoin,Scrypt,PoS,2922613.96424908,55000000
FirstCoin,Scrypt,PoW/PoS ,110000000.0,110000000
CreativeChain,Keccak,PoW,0.0,115000000
BeaverCoin,Scrypt,PoW,3115258.0,3360000
FindCoin,X13,PoS,14524851.4827,14524851.4827
VaultCoin,X11,PoW,30385540.0,1000000000
Zero,Equihash,PoW,6921653.89980891,17000000
OpenChat,Scrypt,PoW/PoS,1000000000.0,1000000000
Canada eCoin,Scrypt,PoW,99843408.3158479,100000000 
Zoin,Lyra2RE,PoW,18545757.5,21000000
Musicoin,Ethash,PoW,0.0,454898394
BnrtxCoin,X11,PoW,0.0,210000000
RenosCoin,Scrypt,PoS,36050365.0,34426423
DubaiCoin,Dagger-Hashimoto,PoW,2232901.0,2232901
VirtacoinPlus,X11,PoW/PoS,13162749.0858027,100000000
TajCoin,Blake2S,PoW/PoS,12184195.9258495,36900000
Impact,X11,PoW/PoS,110630387.850471,110000000
EB3coin,Scrypt,PoW,64096052.0,4000000000
Universe,Scrypt,PoS,0.0,112000000
Atmos,PoS,PoS,111135836.889,110290030
HappyCoin,X11,PoW/PoS,21521322.0099142,100000000
