CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
Coinonat,NIST5,PoW,10123200.0,48252000
MacronCoin,PoS,PoS,401421401.0,400000000
Condensate,X11,PoW/PoS,121665451.643876,500000000
Independent Money System,Scrypt,PoW/PoS,5368934.0,21212121
ArgusCoin,Scrypt,PoW/PoS,1148324.0,28600000
LomoCoin,Scrypt,PoW/PoS,500000.0,1000000000
Bitcoin Scrypt,Scrypt,PoW,0.0,21000000
ProCurrency,SHA-256,PoS,100545745.0,75000000000
GoldReserve,X11,PoW/PoS,17171382.0,40000000
BenjiRolls,Scrypt,PoW,20276099.146524,35520400
ParallelCoin,Scrypt,PoW,0.0,1000000
GrowthCoin,Scrypt,PoS,295135466.361878,2000000000
ILCoin,SHA-256,PoW,1317747500.0,2500000000
Phreak,PoS,PoS,11390225.9742772,30000000
Degas Coin,Scrypt,PoW/PoS,21358764.0,105000000
ZSEcoin,X11,PoW/PoS,0.0,2093500000
HTML5 Coin,X15,PoW/PoS,40659020000.0,90000000000
Ultimate Secure Cash,SHA-256,PoS,10343113.0,200084200
EquiTrader,Scrypt,PoW,13673406.4325268,72000000
QTUM,POS 3.0,PoS,100000000.0,100000000
Quantum Resistant Ledger,CryptoNight-V7,PoW,69036016.8340164,105000000
Espers,536,PoW/PoS,22801882871.0,50000000000
Dynamic,Argon2d,PoW,19784224.6512734,0
Nano,Blake2b,PoW,133248297.0,340282367
ChanCoin,Cloverhash,PoW,18407259.0885883,30000000
Dinastycoin,CryptoNight,PoW,1809467143.0,2000000000
Denarius,NIST5,PoW/PoS,4171382.0,10000000
DigitalPrice,X11,PoW,35138975.0,100000000
Virta Unique Coin,NIST5,PoW/PoS,62942075.0,120000000
Bitcoin Planet,Skein,PoW/PoS,6804362.0,100000000
Unify,Scrypt,PoW,18133195.0,19276800
BritCoin,X13,PoW/PoS,21268092.0,30000000
SocialCoin,Scrypt,PoW,5167775.0, 75000000
Octanox,X11,PoW/PoS,0.0,7905634
ArcticCoin,X11,PoW,26042364.3735553,60000000
DAS,X11,PoW,2622886.0,18900000
Linda,Scrypt,PoW/PoS,9044930943.24243,50000000000
LeviarCoin,CryptoNight,PoW,14161803.0,54000000
DeepOnion,X13,PoW/PoS,21917018.0492836,18898187.6216583
Bitcore,Time Travel,PoW,17801865.1605478,21000000
gCn Coin,Scrypt,PoW,163055097500.0,200000000000
SmartCash,Keccak,PoW,2241009149.22257,5000000000
Signatum,SkunkHash v2 Raptor,PoS,107972766.0,137500000
Onix,X11,PoW,122475638.389743,1100000000
Cream,Skein,PoW/PoS,47331802.4774238,100000000
Bitcoin Cash,SHA-256,PoW,17995589.6469082,21000000
Monoeci,X11,PoW/PoS,12569262.5359307,9507271
CampusCoin,Scrypt,PoW,0.0,1010000000
Draftcoin,Scrypt,PoS,18663297.3489799,17405891.19707116
Vechain,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466
Sojourn Coin,Scrypt,PoW,485214.0,10500000000
Stakecoin,PoS,PoS,4000000.0,61599965
NewYorkCoin,Scrypt,PoW,143006669741.687,0
LiteBitcoin,Scrypt,PoW,0.0,1000000000
FrazCoin,Scrypt,PoW,9704042.0,20000000
Kronecoin,Scrypt,PoW,17453749.4042601,84000000
AdCoin,Scrypt,PoW,32646731.063036,100000000
Linx,Scrypt,PoW,33716526.0,100000000
CoinonatX,Scrypt,PoW/PoS,19539588.0,48252000
Ethereum Dark,Scrypt,PoW/PoS,4200000.0,4200000
Sumokoin,CryptoNight,PoW,8946653.0,88888888
Obsidian,SHA-512,PoS,25000000.0,91388946
Cardano,Ouroboros,PoS,25927070538.0,45000000000
Regalcoin,X11,PoW/PoS,7262402.04264803,27000000
BitcoinZ,Equihash,PoW,5211553258.01514,21000000000
TrezarCoin,NeoScrypt,PoW/PoS,182638400.0,400000000
Elements,X11,PoW,2702855668.85288,1800000000
TerraNovaCoin,Scrypt,PoW/PoS,1140734.91680375,15733333
VIVO Coin,NeoScrypt,PoW,4165967.57499639,27000000
Rupee,Lyra2REv2,PoS,24000000.0,24000000
Bitcoin Gold,Equihash,PoW,17202361.088994,21000000
WomenCoin,Scrypt,PoW/PoS,48459472454.0,25000000000
Theresa May Coin,SHA-256,PoW/PoS,92050800.0,100000000
NamoCoin,NIST5,PoW/PoS,560563220.0,1200000000
LUXCoin,PHI1612,PoW/PoS,8305775.31777569,60000000
Pirl,Dagger,PoW,33986980.0,156306732.71
Xios,Scrypt,PoW/PoS,2149688.0,21000000
Bitcloud 2.0,Quark,PoW/PoS,30711550.5294042,200000000
eBoost,Scrypt,PoW,99990001.493466,100000000
KekCoin,POS 2.0,PoS,12330806.30517,21000000
BlackholeCoin,Scrypt,PoW/PoS,16362544.992,14788275.991
AltCommunity Coin,SkunkHash,PoW/PoS,0.0,5000000
Pure,X11,PoW/PoS,0.0,3686860
Rupaya,Quark,PoS,0.0,75000000
Infinity Economics,SHA-256,PoS,8999999990.0,9000000000
Pura,X11,PoW,175215859.0,350000000
Innova,NeoScrypt,PoW,6375259.04,45000000
Bitdeal,Scrypt,PoW,0.0,300000000
Ellaism,Ethash,PoW,12756367.0,280000000
Sakuracoin,Scrypt,PoW,0.0,105100000
GoByte,NeoScrypt,PoW,5832306.875,31800000
Castle,Quark,DPoS,0.0,50000000 
Magnet,X11,PoW/PoS,38198594.8342105,144000000
Lamden Tau,DPoS,DPoS,288090567.493887,500000000
Electra,NIST5,PoW/PoS,28399150208.0,30000000000
Bitcoin Diamond,X13,PoW/PoS,183534024.889807,210000000
SHIELD,Multiple,PoW,481730566.566176,660000000
Cash & Back Coin,Scrypt,PoW/PoS,110976977.29338,210000000
UltraNote,CryptoNight,PoW,19281821413.4924,85000000000
BitCoal,CryptoNight,PoW,4500000.0,12500000
DaxxCoin,Ethash,PoW,520891780.0,10000000000
Bulwark,NIST5,PoS,13247178.8807286,27716121
Kalkulus,Quark,PoS,16955764.902064,20000000
AC3,X11,PoW,80316207.0,550000000
CHIPS,SHA-256,PoW,0.0,21000000
Lethean,CryptoNight-V7,PoW,441250233.377,999481516
GermanCoin,Scrypt,PoW/PoS,4911500269.41,50000000000
LiteCoin Ultra,Scrypt,PoW/PoS,8419402.321,150000000
PopularCoin,Scrypt,PoW,3964201248.87125,4999999999
PhantomX,X11,PoW/PoS,45174214.1078625,50000000
HTML Coin,SHA-256,PoW/PoS,0.0,90000000000
Photon,BLAKE256,PoW,30089671530.5228, 90000000000
Sucre,X11,PoW,4229040.50393462,19800000
Fantasy Cash,Scrypt,PoW/PoS,0.0,4600000
SparksPay,NeoScrypt,PoW,7847417.33355824,21000000
Digiwage,Quark,PoS,27299680.0,120000000
GunCoin,NeoScrypt,PoW,299797953.0,500000000
IrishCoin,Scrypt,PoW,45483049.3398182,64000000
Trollcoin,Scrypt,PoW/PoS,591022748.0,900000000
Litecoin Plus,Scrypt,PoW/PoS,2504486.227718,4000000
Monkey Project,X11,PoS,4407252.0,21000000
Pioneer Coin,X11,PoW,8478104.33969947,23000000
UnitedBitcoin,SHA-256,PoW,20166000.0,20166000
Interzone,C11,PoW,11916588.09471,23000000
OP Coin,Scrypt,PoW/PoS,0.0,2000000000
Valorbit,Scrypt,PoW/PoS,0.0,92233720000000000
TokenPay,POS 3.0,PoS,20445861.5344251,25000000
1717 Masonic Commemorative Token,Ethash,PoS,1618033.0,1618033
My Big Coin,Scrypt,PoW and PoS,9399342.52839847,30000000
TurtleCoin,CryptoNight,PoW,53139835213.77,1000000000000
MUNcoin,SkunkHash,PoW,4818338.98949984,16600000
Unified Society USDEX,Scrypt,PoW/PoS,234846265.782157,232000000
Niobio Cash,CryptoNight,PoW,133932467.774108,336000000
Bitcoin Private,Equihash,PoW,0.0,21000000
Skeincoin,Skein,PoW,0.0,17000000
ShareChain,Scrypt,PoW,10000000000.0,10000000000
Travelflex,Dagger,PoW,107325266.027783,100000000
KREDS,Lyra2REv2,PoW,643795911.540095,1100000000
Tokyo Coin,X13,PoS,230298925.0,800000000
BiblePay,Proof-of-BibleHash,POBh,1772091549.88818,5200000000
LitecoinCash,SHA-256 + Hive,PoW + Hive,638382332.208514,840000000
BitFlip,Scrypt,PoW,12446100.00278,40000000
LottoCoin,Scrypt,PoW,14491014421.0,18406979840
LeafCoin,Scrypt,PoW,0.0,21000000000
Cerberus,NeoScrypt,PoW,0.0,31500000
Bitcoin Hush,Equihash,PoW,0.0,21000000
Crypto Improvement Fund,X11,PoW,211297638.500483,500000000
Stipend,C11,PoW/PoS,11251342.1879021,19340594
Poa Network,Proof-of-Authority,PoA,204479039.0,252460800
Pushi,X11,PoW/PoS,2167827.1,25000000
Ellerium,XEVAN,PoW/PoS,419275.38,60000000
Velox,Scrypt,PoS,25570013.1348022,124000000
Ontology,VBFT,PoS,650848625.0,1000000000
Callisto Network,Ethash,PoW,247612453.0,6500000000
Curium,X11,PoW,0.0,22000000
BitTube,CryptoNight,PoW,80049082.9057215,1000000000
Dinero,NeoScrypt,PoW,0.0,100000000
Poseidon,Scrypt,PoW,4070212.1493016,21000000
Aidos Kuneen,IMesh,PoW,25000000.0,25000000
Bitspace,NIST5,PoW/PoS,13787854.6277781,50000000
Snowgem,Equihash,PoW,0.0,84096000
Briacoin,Scrypt,PoW/PoS,845637.81347436,3000000
Ignition,Scrypt,PoW/PoS,1182153.5,5000000
Bitrolium,Equihash,PoW,71355477.0,70000000
Bitcoin Interest,Equihash,PoW,0.0,22300000
MedicCoin,Scrypt,PoS,267297676.3125,500000000
Alpenschillling,Lyra2Z,PoW,27340501.6514783,300000000
Zelcash,Equihash,PoW/PoS,0.0,210000000
Bitcoin Green,Green Protocol,PoS,9803691.3618195,21000000
Deviant Coin,PoS,PoS,21876586.8530324,88000000
Abjcoin,Scrypt,PoW/PoS,9880502.37178894,30000000
Profit Hunters Coin,Scrypt,PoW/PoS,0.0,100000000
Semux,Semux BFT consensus,DPoS,1231147.0,100000000
BitBlocks,Scrypt,PoW/PoS,0.0,500000000
FuturoCoin,X11,PoW,31801461.1867843,100000000
Carebit,Quark,PoW/PoS,139739596.506702,200000000
Zealium,PoS,PoS,11075254.0929996,80000000
Monero Classic,CryptoNight,PoW,16016864.0,18400000
Proton,X16R,PoS,4403800.0,45000000
iDealCash,Scrypt,PoW/PoS,1404157529.46026,5121951220
Jumpcoin,NIST5,PoW,21069346.2522598,21000000
Infinex,Lyra2RE,PoW,5097689.71077377,26280000
Bitcoin Incognito,XEVAN,PoS/PoW,10904963.0923455,21000000
KEYCO,Tribus,PoW,795447.0,18000000
HollyWoodCoin,Scrypt,PoS,38706809.466535,26000000
GINcoin,Lyra2Z,PoW,6986399.70430446,10500000
PlatinCoin,CryptoNight,PoW,84300.0,600000518
Loki,CryptoNight Heavy,PoW,19153632.0,150000000
Newton Coin,CryptoNight,PoW,41294520017.0,184000000000
Swisscoin,Scrypt,PoW/PoS,10200000000.0,10200000000
Xt3ch,Scrypt,PoS,7630000.0154,44000000
MassGrid,Jump Consistent Hash,PoW,135862416.039898,168000000
TheVig,SHA-256D,PoW/PoS,33238183.7225834,100000000
PluraCoin,CryptoNight,PoW,560085952.404637,1000000000
EmaratCoin,Scrypt,PoW/PoS,21599339.6728,84000000
Dekado,X15,PoS,30284196.369129,90000000
Lynx,Scrypt,HPoW,77872059787.8998,92000000000
Poseidon Quark,Quark,PoS,2716264.95302831,650000000 
BitcoinWSpectrum,SHA-256,PoS,57811001.000889,100262205
Muse,DPoS,PoS,18194936.0,18081806 
Motion,X16R,PoW,8125865.02097646,22075700
PlusOneCoin,HMQ1725,PoW,8645406.16776286,21000000
Axe,X11,PoW,4993030.69736615,21000000
Trivechain,X16R,PoW/PoS,36923120.6205934,82546564
Dystem,Quark,PoS,7082392.24744494,21000000
Giant,Quark,PoW/PoS,5919489.76813523,5151000
Peony Coin,Scrypt,PoS,1042012.45227735,16880000000
SafeCoin,Zhash,PoW/PoS,0.0,36000000
Absolute Coin,Lyra2REv2,PoW/PoS,13332617.9413708,52500000
Vitae,Quark,PoS,66053877.6256106,100000000
HexCoin,Scrypt,PoW,1416663.06600024,22105263
TPCash,Scrypt,PoW/PoS,5403802.49590733,1000000000
Webchain,CryptoNight-V7,PoW,15580199.3087496,1750000000
Ryo,Cryptonight-GPU,PoW,4890897.0,88188888
MUSDcoin,Scrypt,PoW/PoS,0.0,100000000
Urals Coin,XEVAN,PoW,14746153.0962884,210000000
Qwertycoin,CryptoNight Heavy,PoW,99553110528.8022,184470000000
ARENON,X11,PoS,19269509.94,55000000
EUNO,X11,PoW/PoS,30771125.9760867,50000000
MMOCoin,Scrypt,PoS,107763867.917675,260000000
Ketan,PoS,PoS,9327131.59708692,210000000
NIX,Lyra2REv2,PoW,0.0,175000000
Safe Trade Coin,Scrypt,PoS,0.0,840000000
Project Pai,SHA-256,PoW,2100000000.0,2100000000
Mont Blanc,Scrypt,PoS,0.0,70000000
XDNA,Keccak,PoW/PoS,4672513.84432375,366000000
PAXEX,X11,PoS,4504639.0,100000000
Azart,X11,PoW,5015881.37315389,25000000
Apollon,Quark,PoW/PoS,0.0,250000000
ThunderStake,Scrypt,PoW/PoS,1059954080.43439,18000000000
Kcash,SHA-512,Zero-Knowledge Proof,1000000000.0,1000000000
Xchange,X16R,PoW,9753753.61515394,100000000
Acute Angle Cloud,ECC 256K1,DPOS,1000000000.0,1000000000
Traid,NeoScrypt,PoW/PoS,0.0,252000000
CrypticCoin,Equihash,PoW,4235111504.0,7600000000
Bettex coin,XEVAN,PoS,6787405.18013774,50000000
ZestCoin,Quark,PoW,0.0,29300000
X-CASH,CryptoNight Heavy X,PoW,0.0,100000000000
Actinium,Lyra2Z,PoW,13634850.0,84000000
ETHER-1,Ethash,PoW,0.0,13666237
Bitcoin SV,SHA-256,PoW,17992514.6469233,21000000
BitMoney,XEVAN,Pos,208515864.367343,70000000000
Bitcoiin2Gen,Ethash,PoW,0.0,100000000
Junson Ming Chan Coin,X11,PoS,17209923728.3266,0
FREDEnergy,CryptoNight,PoW,1867054873.28397,8080000000
Zenad,Quark,POS / MN,0.0,46000000
C25 Coin,SkunkHash,PoW,0.0,6100000
HerbCoin,Quark,PoW/PoS,35312185.7437239,54000000
Aquachain,Argon2,PoW,0.0,42000000
Universal Molecule,Blake,PoW,1578281.31341127,105120001.44
Lithium,Blake,PoW,15846721.2482747,25228800
Smart Bitcoin,SHA-256,PoW,0.0,20999764
PirateCash,Equihash,PoS,13475920.0,105000000
Exosis,Exosis,PoW,406091.925,21000000
Block-Logic,Scrypt,PoW,35284717.173946,120000000
Oduwa,Scrypt,PoW/PoS,14777549.3940764,21000000
Beam,Equihash,PoW,35687520.0,262800000
Galilel,Quark,PoW/PoS,18265011.2486006,19035999
Bithereum,Equihash,PoW,25150787.5,30886000
Crypto Sports,Quark,PoS,1934701.67524713,13370000
Credit,Scrypt,PoW/PoS,30825710000.0296,74800000000
SLICE,QuBit,PoW,12925790.4226959,100000000
Dash Platinum,X11,PoS,715659.44237941,19700000
Nasdacoin,Scrypt,PoW/PoS,20546528.2059957,84000000
Vidulum,Equihash1927,PoW,0.0,100000000
Beetle Coin,XEVAN,PoW/PoS,198938144.363399,500000000
Titan Coin,SHA-256D,PoW/PoS,896361168.0,5000000000
Award,X11,PoW/PoS,15420234.5389336,420000000
BlockStamp,SHA-256,PoW,0.0,105000000
BLAST,SHA-256,PoW,52293836.6277958,64000000
Bitcoin Rhodium,X13,PoW,1170292.5,2100000
GlobalToken,SHA-256,PoW,84613099.9999955,168000000
Insane Coin,X11,PoW/PoS,23775960.3207514,30000000
ALAX,DPoS,DPoS,1000000000.0,1000000000
The Freedom Coin,X11,PoS,0.0,25000000
LiteDoge,Scrypt,PoW/PoS,15318887081.0146,35000000000
Boolberry,X11,PoW,0.0,18450000
SolarCoin,Scrypt,PoW,55565076.3863525,98100000000
TruckCoin,X11,PoW/PoS,242574105.22384,0
UFO Coin,NeoScrypt,PoW,3824685012.0,4000000000
Ascension Coin,QuBit,PoW/PoS,0.0,0
OrangeCoin,Scrypt,PoW/PoS,3537150.0,200000000
BlakeCoin,Blake,PoW,23356790.1494191,7000000000
BitstarCoin,Scrypt,PoW/PoS,20576532.0,54256119
NeosCoin,SHA-256,PoS,4392258.24647793,21000000
HyperCoin,Scrypt,PoW/PoS,9631199.99309942,0
PinkCoin,X11,PoW/PoS,436353624.490312,500000000
FantomCoin ,CryptoNight,PoW,0.0,18400000
Crypto Escudo,Scrypt,PoW,780210700.0,1000000000
AudioCoin,Scrypt,PoW/PoS,980732528.97974,10500000000
IncaKoin,SHA-256,PoW/PoS,17939725045.334,190000000
Piggy Coin,X11,PoW/PoS,494240666.028571,1000000000
Crown Coin,SHA-256,PoW,22986929.0854247,42000000
Genstake,Scrypt,PoW/PoS,60000000.0,15000000
Quazar Coin,CryptoNight,PoW,0.0,18446744
SmileyCoin,Scrypt,PoW,29583989322.9213,50000000000
ParkByte,SHA-256,PoW/PoS,0.0,25000000
XiaoMiCoin,Scrypt,PoW/PoS,404316475.545465,400000000
Groestlcoin,Groestl,PoW,73298203.8873662,105000000
CapriCoin,X11,PoW/PoS,201364327.427503,208000000
 ClubCoin,Scrypt,PoW/PoS,103621876.167052,160000000
Radium,PoS,PoS,3821245.74150193,9000000
Bata,Scrypt,PoW,5052555.91981545,5000000
Pakcoin,Scrypt,PoW,69684455.4387001,182000000
Creditbit ,X11,Proof of Trust,16901016.6609755,16504333
OKCash,SHA-256,PoW/PoS,74676064.9488608,105000000
Lisk,DPoS,DPoS,120012140.0,159918400
HiCoin,Scrypt,PoS,10000244677.7002,10008835635
WhiteCoin,Scrypt,PoW/PoS,252005564.19257,300000000
Dotcoin,Scrypt,PoW,0.0,890000000
FriendshipCoin,NeoScrypt,PoW/PoS,1120385.00502,60168145
The Hempcoin,Scrypt,PoW/PoS,0.0,300000000
Fiii,SHA3-256,DPoC,-5917977547.96773,5000000000
JoinCoin,Multiple,PoW,3332922.5,2800000
Triangles Coin,X13,PoW/PoS,140777.753365,120000
Vollar,Equihash+Scrypt,PoW,100000000.0,2100000000
EOS,DPoS,DPoS,1020544523.0722,0
Reality Clash,Ethash,PoW,24487944.0958204,24487944
Oxycoin,DPoS,DPoS,1122382283.37,0
iOlite,Ethash,PoW,0.0,1000000000
TigerCash,SHA-256,PoS,1000000000.0,1000000000
Waves,Leased POS,LPoS,100000000.0,100000000
Particl,PoS,PoS,9283137.5558676,8634140
BitTorrent,TRC10,DPoS,989988713439.649,990000000000
Nxt,PoS,PoS/LPoS,1000000000.0,1000000000
ZEPHYR,SHA-256,DPoS,1999999995.3056,2000000000
Gapcoin,Scrypt,PoW/PoS,14931046.1546605,250000000
Beldex,CryptoNight,PoW,980222595.0,1400222610
Horizen,Equihash,PoW,7296537.5,21000000
BitcoinPlus,Scrypt,PoS,128326.99633965,1000000
